date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:10	283/283	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Mar%202026%2019:45:10%20GMT	https://wiki.nsbasic.com/Handbook	./docs/wiki/Handbook.0.delayed	(from )
15:45:13	17051/17051	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2016:16:09%20GMT	https://wiki.appstudio.dev/Handbook	./docs/wiki/Handbook.html	(from )
15:45:16	19708/19708	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2021:34:08%20GMT	https://wiki.appstudio.dev/Introduction	./docs/wiki/Introduction.html	(from https://wiki.appstudio.dev/Handbook)
15:45:17	16854/16854	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2004:39:08%20GMT	https://wiki.appstudio.dev/Conventions_Used_in_this_Handbook	./docs/wiki/Conventions_Used_in_this_Handbook.html	(from https://wiki.appstudio.dev/Handbook)
15:45:22	27291/27291	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2023:13:41%20GMT	https://wiki.appstudio.dev/The_Elements_of_an_NSB/App_Studio_Program	./docs/wiki/The_Elements_of_an_NSB/App_Studio_Program.html	(from https://wiki.appstudio.dev/Handbook)
15:45:23	20675/20675	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2013:31:25%20GMT	https://wiki.appstudio.dev/Expressions_and_Operators	./docs/wiki/Expressions_and_Operators.html	(from https://wiki.appstudio.dev/Handbook)
15:45:28	15727/15727	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2011:06:41%20GMT	https://wiki.appstudio.dev/Function_and_Sub_Procedures	./docs/wiki/Function_and_Sub_Procedures.html	(from https://wiki.appstudio.dev/Handbook)
15:45:30	22490/22490	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2018:15:28%20GMT	https://wiki.appstudio.dev/Projects,_Forms,_and_Controls	./docs/wiki/Projects,_Forms,_and_Controls.html	(from https://wiki.appstudio.dev/Handbook)
15:45:32	27980/27980	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2010:07:05%20GMT	https://wiki.appstudio.dev/Menu_Options	./docs/wiki/Menu_Options.html	(from https://wiki.appstudio.dev/Handbook)
15:45:33	16036/16036	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2014:36:24%20GMT	https://wiki.appstudio.dev/Deploy_Bar	./docs/wiki/Deploy_Bar.html	(from https://wiki.appstudio.dev/Handbook)
15:45:36	17236/17236	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2020:45:41%20GMT	https://wiki.appstudio.dev/Toolbox	./docs/wiki/Toolbox.html	(from https://wiki.appstudio.dev/Handbook)
15:45:39	16726/16726	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2000:42:05%20GMT	https://wiki.appstudio.dev/Design_Screen	./docs/wiki/Design_Screen.html	(from https://wiki.appstudio.dev/Handbook)
15:45:42	18532/18532	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2003:00:48%20GMT	https://wiki.appstudio.dev/Project_Explorer	./docs/wiki/Project_Explorer.html	(from https://wiki.appstudio.dev/Handbook)
15:45:47	14544/14544	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2021:37:13%20GMT	https://wiki.appstudio.dev/Status_Bar	./docs/wiki/Status_Bar.html	(from https://wiki.appstudio.dev/Handbook)
15:45:47	27415/27415	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2016:53:27%20GMT	https://wiki.appstudio.dev/Properties_Window	./docs/wiki/Properties_Window.html	(from https://wiki.appstudio.dev/Handbook)
15:45:52	21220/21220	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2000:06:18%20GMT	https://wiki.appstudio.dev/Code_Window	./docs/wiki/Code_Window.html	(from https://wiki.appstudio.dev/Handbook)
15:45:52	24340/24340	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2022:37:42%20GMT	https://wiki.appstudio.dev/Preferences	./docs/wiki/Preferences.html	(from https://wiki.appstudio.dev/Handbook)
15:45:57	17355/17355	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2013:52:06%20GMT	https://wiki.appstudio.dev/Make_Native_App_with_VoltBuilder	./docs/wiki/Make_Native_App_with_VoltBuilder.html	(from https://wiki.appstudio.dev/Handbook)
15:46:01	17970/17970	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Jan%202026%2020:04:51%20GMT	https://wiki.appstudio.dev/Testing_and_Deploying	./docs/wiki/Testing_and_Deploying.html	(from https://wiki.appstudio.dev/Handbook)
15:46:03	15083/15083	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2003:29:48%20GMT	https://wiki.appstudio.dev/About_Screen	./docs/wiki/About_Screen.html	(from https://wiki.appstudio.dev/Handbook)
15:46:06	14898/14898	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Jan%202026%2014:02:44%20GMT	https://wiki.appstudio.dev/Find/Replace	./docs/wiki/Find/Replace.html	(from https://wiki.appstudio.dev/Handbook)
15:46:07	15554/15554	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2013:00:32%20GMT	https://wiki.appstudio.dev/New_Project_Dialog	./docs/wiki/New_Project_Dialog.html	(from https://wiki.appstudio.dev/Handbook)
15:46:09	14991/14991	---MC-	200	added ('OK')	text/html	date:Mon,%2026%20Jan%202026%2002:27:13%20GMT	https://wiki.appstudio.dev/Open_Sample_Dialog	./docs/wiki/Open_Sample_Dialog.html	(from https://wiki.appstudio.dev/Handbook)
15:46:11	14695/14695	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2020:40:40%20GMT	https://wiki.appstudio.dev/Wiki	./docs/wiki/Wiki.html	(from https://wiki.appstudio.dev/Handbook)
15:46:13	27978/27978	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2019:29:55%20GMT	https://wiki.appstudio.dev/Language_reference	./docs/wiki/Language_reference.html	(from https://wiki.appstudio.dev/Handbook)
15:46:17	19728/19728	---MC-	200	added ('OK')	text/html	date:Sun,%2025%20Jan%202026%2000:02:08%20GMT	https://wiki.appstudio.dev/Advanced_Topics	./docs/wiki/Advanced_Topics.html	(from https://wiki.appstudio.dev/Handbook)
15:46:18	24758/24758	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2023:56:12%20GMT	https://wiki.appstudio.dev/Appendix	./docs/wiki/Appendix.html	(from https://wiki.appstudio.dev/Handbook)
15:46:23	25455/25455	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2013:34:20%20GMT	https://wiki.appstudio.dev/AppStudio_Documentation	./docs/wiki/AppStudio_Documentation.html	(from https://wiki.appstudio.dev/Handbook)
15:46:26	16263/16263	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2022:42:52%20GMT	https://wiki.appstudio.dev/AppStudio:Privacy_policy	./docs/wiki/AppStudio_Privacy_policy.html	(from https://wiki.appstudio.dev/Handbook)
15:46:27	14813/14813	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2018:08:13%20GMT	https://wiki.appstudio.dev/AppStudio:About	./docs/wiki/AppStudio_About.html	(from https://wiki.appstudio.dev/Handbook)
15:46:30	16212/16212	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2022:44:04%20GMT	https://wiki.appstudio.dev/AppStudio:General_disclaimer	./docs/wiki/AppStudio_General_disclaimer.html	(from https://wiki.appstudio.dev/Handbook)
15:46:32	3517/3517	---M--	200	added ('OK')	image/svg+xml	etag:%22dbd-643f780f99d29%22	https://wiki.appstudio.dev/resources/assets/mediawiki_compact.svg	./docs/wiki/resources/assets/mediawiki_compact.svg	(from https://wiki.appstudio.dev/Handbook)
15:46:33	16871/16871	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2023:15:13%20GMT	https://wiki.appstudio.dev/Round	./docs/wiki/Round.html	(from https://wiki.appstudio.dev/The_Elements_of_an_NSB/App_Studio_Program)
15:46:37	21264/21264	---MC-	200	added ('OK')	text/html	date:Sat,%2024%20Jan%202026%2023:15:20%20GMT	https://wiki.appstudio.dev/Dim	./docs/wiki/Dim.html	(from https://wiki.appstudio.dev/The_Elements_of_an_NSB/App_Studio_Program)
